name,grade,category,lat,lon
가수원중학교,중학교,대전광역시서부교육지원청,36.29847211,127.354558
대전관저초등학교,초등학교,대전광역시서부교육지원청,36.30655924,127.3399115
대전대화초등학교,초등학교,대전광역시동부교육지원청,36.36269221,127.4113441
가수원초등학교,초등학교,대전광역시서부교육지원청,36.30239371,127.3530021
대전하기초등학교,초등학교,대전광역시서부교육지원청,36.38863145,127.321529
신탄진초등학교,초등학교,대전광역시동부교육지원청,36.44898499,127.4225035
산내초등학교,초등학교,대전광역시동부교육지원청,36.27979819,127.470066
대전성남초등학교,초등학교,대전광역시동부교육지원청,36.34394433,127.4293687
신탄진중학교,중학교,대전광역시동부교육지원청,36.44731214,127.4234779
대전배울초등학교,초등학교,대전광역시서부교육지원청,36.4219077,127.3841459
대전여자고등학교,고등학교,대전광역시동부교육지원청,36.33001268,127.4463707
대전신계초등학교,초등학교,대전광역시서부교육지원청,36.30195202,127.3780278
대전중원초등학교,초등학교,대전광역시동부교육지원청,36.3658142,127.4280277
대전원신흥중학교,중학교,대전광역시서부교육지원청,36.33301958,127.3453452
중일고등학교,고등학교,대전광역시서부교육지원청,36.42052491,127.3886965
대전교촌초등학교,초등학교,대전광역시서부교육지원청,36.30602189,127.3167705
대전하기중학교,중학교,대전광역시서부교육지원청,36.38588907,127.3222049
신탄진용정초등학교,초등학교,대전광역시동부교육지원청,36.45422272,127.4360305
동대전고등학교,고등학교,대전광역시동부교육지원청,36.35628714,127.4236428
학하초등학교,초등학교,대전광역시서부교육지원청,36.33454132,127.3118276
서대전여자고등학교,고등학교,대전광역시서부교육지원청,36.32773715,127.369556
대전지족고등학교,고등학교,대전광역시서부교육지원청,36.37803212,127.3156568
대전흥룡초등학교,초등학교,대전광역시동부교육지원청,36.34556389,127.4479362
대전변동중학교,중학교,대전광역시서부교육지원청,36.3247386,127.3757901
동대전초등학교,초등학교,대전광역시동부교육지원청,36.35219362,127.4493023
대전둔원초등학교,초등학교,대전광역시서부교육지원청,36.34309047,127.3749799
대전동광초등학교,초등학교,대전광역시동부교육지원청,36.3373476,127.4495505
동신중학교,중학교,대전광역시동부교육지원청,36.3202964,127.4595324
덕송초등학교,초등학교,대전광역시서부교육지원청,36.36138005,127.3025216
대전봉명초등학교,초등학교,대전광역시서부교육지원청,36.34960625,127.343466
서대전고등학교,고등학교,대전광역시서부교육지원청,36.36013353,127.3695006
동명초등학교,초등학교,대전광역시동부교육지원청,36.37434465,127.4742833
대전금동초등학교,초등학교,대전광역시서부교육지원청,36.29821685,127.3263759
대전둔원고등학교,고등학교,대전광역시서부교육지원청,36.34283137,127.3733872
대전둔원중학교,중학교,대전광역시서부교육지원청,36.34273256,127.3766789
대전동서초등학교,초등학교,대전광역시동부교육지원청,36.34110819,127.4225321
대전둔산중학교,중학교,대전광역시서부교육지원청,36.35342528,127.3719786
대전용산고등학교,고등학교,대전광역시서부교육지원청,36.42100777,127.3959054
대전지족초등학교,초등학교,대전광역시서부교육지원청,36.38080834,127.3173106
동방여자중학교,중학교,대전광역시서부교육지원청,36.30623876,127.3746013
대전은어송중학교,중학교,대전광역시동부교육지원청,36.30045896,127.4609857
대전샘머리초등학교,초등학교,대전광역시서부교육지원청,36.36339918,127.393253
대전자양초등학교,초등학교,대전광역시동부교육지원청,36.33390118,127.4434141
대전대청중학교,중학교,대전광역시동부교육지원청,36.44891127,127.4378826
대전용전중학교,중학교,대전광역시동부교육지원청,36.35658849,127.4252276
중리중학교,중학교,대전광역시동부교육지원청,36.36662861,127.4270918
대전매봉초등학교,초등학교,대전광역시동부교육지원청,36.36927029,127.4373309
대전둔산여자고등학교,고등학교,대전광역시서부교육지원청,36.35297303,127.3732835
성덕중학교,중학교,대전광역시서부교육지원청,36.38693177,127.3445355
대전이문고등학교,고등학교,대전광역시동부교육지원청,36.44731214,127.4234779
대전매봉중학교,중학교,대전광역시동부교육지원청,36.36927451,127.4361517
대전대암초등학교,초등학교,대전광역시동부교육지원청,36.32365417,127.4570292
신탄중앙중학교,중학교,대전광역시동부교육지원청,36.44137005,127.4242729
대전서원초등학교,초등학교,대전광역시서부교육지원청,36.35962823,127.3939618
