기관ㆍ업체명,소재지,전화번호,우대내용
프랑세즈제과점,"대전광역시 동구 동부로 56-8(판암동, 판암4차주공아파트)",042-282-0331,일부품목 5% 할인(유제품 제외)
판암장애인보호작업장,대전광역시 동구 동부로 56-34(판암동),042-285-0030,전체품목 10% 할인
에이스베이커리,대전광역시 동구 동산초교로22번길 45(홍도동),042-672-2475,전체품목 5~10% 할인
파리바케트대전대점,대전광역시 동구 용운로 169(용운동),042-283-8245,일부품목 5% 할인
파파구떼,대전광역시 동구 신기로 103(가오동),042-286-8890,자체포인트 적립 10%(음료류 제외)
언니네 빵집,대전광역시 동구 비래서로62번길 99(가양동),042-635-5955,"8,000원이상 구매시 10%할인"
정인구팥빵,대전광역시 중구 계백로 1619(유천동),042-523-1579,전체품목 10% 할인
파리바게뜨(한밭도서관점),대전광역시 중구 서문로 13(문화동),042-582-8202,일부품목 5% 할인
파리바게트 문화점,대전광역시 중구 당디로 6번길 70(문화동),042-584-0453,케익 5% 할인
케익하우스 앨리,"대전광역시 중구 목동로 42, 1층",042-286-1300,전체품목 5% 할인
내가 잘가는 빵집,대전광역시 서구 신갈마로 153(갈마동),042-525-2816,전체품목 5% 할인(카드는 할인불가)
경성베이커리,대전광역시 서구 대덕대로 150(갈마동),042-533-6203,전체품목 15% 할인
해피데이명과,대전광역시 서구 문정로90번길 57(탄방동),042-486-1119,전체품목 15% 할인
뚜레쥬르,대전광역시 서구 정림로 56-1(정림동),042-585-8200,전체품목 5%할인
파리바게뜨,대전광역시 서구 정림로 64(정림동),042-583-4116,전체품목 10%할인
하레하레과자점,"대전광역시 서구 둔산로 155, 101호(둔산동, 제상가동)",042-483-1595,전체품목 5% 할인
달달보드레,"대전광역시 서구 복수동로61, 1층 (복수동, 로라빌딩)",042-586-9946,전체품목 10% 할인
이봉구케익과자점,대전광역시 서구 복수동로 48(복수동),042-320-5489,"음료, 잼 제외 빵 종류 10% 할인"
갓구운빵천국,대전광역시 대덕구 동춘당로181(법동),042-632-5904,전체품목 5%할인
화이트베이커리,"대전광역시 대덕구 계족로761번길 24, 117호(읍내동, 현대아파트상가)",042-632-0061,케익 20% 할인
에코브레드하우스,대전광역시 대덕구 비래서로 43(비래동),042-632-7156,자체포인트 5% 적립(일부품목)
뚜레주르,대전광역시 대덕구 신탄진로 826(신탄진동),042-933-0440,전체품목 5% 할인
빵뜨레베이커리,대전광역시 대덕구 대덕대로 1596-1(석봉동),042-931-8927,상품금액의 5% 할인
위시케이크,대전광역시 대덕구 송촌북로 20번길 21-14(송촌동),042-347-0507,전체품목 5% 할인
파리바게트 대덕제일점,대전광역시 대덕구 계족로 663번길 14(법1동),042-628-8240,전체품목 10% 할인
파리바게트 덕암점,"대전광역시 대덕구 평촌동 535-10, 1층",042-934-8253,전체품목 10% 할인
레시피,대전광역시 대덕구 중리동 245-21 (중리동),042-621-0035,일부품목(케이크) 20%할인
빵굽는 마을,대전광역시 대덕구 대덕대로1470번길 44(목상동),,전체품목 10%할인
