기관ㆍ업체명,소재지,전화번호,우대내용
궁중목욕탕,대전광역시 동구 대전로 677(인동),042-283-1721,일부품목 5% 할인
현대건강원,대전광역시 동구 대전로 701-10(인동),,전체품목 5% 할인
삼성한방병원,대전광역시 동구 대전로815번길 131(삼성동),042-672-5123,비급여 15% 할인
동제한의원,대전광역시 동구 대전로 917(삼성동),042-632-4503,일부품목 5% 할인
홍 한의원,대전광역시 동구 우암로 53(삼성동),042-624-6636,일부품목 5% 할인
묵림한의원,대전광역시 동구 용운로 117(용운동),042-226-1075,일부품목 10% 할인
경남건재도매한약,대전광역시 동구 동부로73번길 136(용운동),042-272-1491,전체품목 5% 할인
정삼구증구포홍삼액,대전광역시 동구 가양로123번길 7(가양동),042-637-7821,전체품목 10% 할인
해맑은도담한의원,"대전광역시 동구 동대전로248번길 23-1(가양동, 그랜드빌)",042-622-9600,비급여 5% 할인
하나보청기,대전광역시 동구 대전로 799-1(중동),042-222-2582,일부품목 30% 할인
원동스포츠,대전광역시 동구 대전로 765-1(원동),042-255-4479,전체품목 도매단가로 판매
대성당약국,대전광역시 동구 계족로 324(성남동),042-624-9890,일부품목 5% 할인(일반의약품)
조이약국,"대전광역시 동구 동산초교로 41, 105호",042-635-7501,영양제구매시 키즈비타민 증정
행복한한의원,대전광역시 동구 보문로4 플러스크리닉센터1층(효동),042-272-6001,한약품목 10% 할인
삼천리자전거충무대리점,대전광역시 중구 보문로162번길 102(대사동),042-221-6233,전체품목 5% 할인
윈스포츠,대전광역시 중구 충무로 108(대사동),042-242-2555,전체품목 10% 할인
월드스포츠,대전광역시 중구 충무로 116-1(대사동),042-224-4333,일부품목 10% 할인
소망의료기,대전광역시 중구 대종로 279(부사동),042-254-1002,일부품목 10% 할인(옥매트 외)
청솔건강원,대전광역시 중구 당디로 124번길 75(유천동),042-583-4408,한약 5% 할인
명송한의원,대전광역시 중구 유천로 50-1(유천동),042-584-1275,일부품목 20% 할인
파라곤노래방,대전광역시 중구 계백로 1565번길 1(유천동),042-527-4669,전체품목 10% 할인
현대건강원,대전광역시 중구 계백로 1577(유천동),042-524-8644,전체품목 5% 할인
고려약국,대전광역시 중구 계백로1592 (유천동),042-585-0956,일부품목 5% 할인
삼천리자전거,대전광역시 중구 문화로 67(유천동),042-585-0122,전체품목 10%할인
세웅약국,대전광역시 중구 평촌로 105번길 73(태평동),042-531-5656,전체품목 5% 할인
삼천리자전거 태평점,대전광역시 중구 동서대로 1207(태평동),042-531-9301,자전거용품 5% 할인
삼부스포렉스 골프장,대전광역시 중구 태평로 83(태평동),042-535-8451,일부품목 10% 할인 (개인레슨 제외)
삼부스포렉스 수영장,대전광역시 중구 태평로 83(태평동),042-535-8454,일부품목 10% 할인 (개인레슨 제외)
길지압안마원,대전광역시 중구 대종로 669 (중촌동),042-223-0690,"일부품목 10% 할인(전신안마, 지압 : 예약필수)"
금산임삼사9호,대전광역시 중구 대종로297(부사동),042-253-8946,전체품목 5% 할인
석원인삼사,대전광역시 중구 대종로297(부사동),,전체품목 5% 할인
신신인삼사,대전광역시 중구 대종로297(부사동),042-254-4345,전체품목 5% 할인
미도목욕탕,대전광역시 중구 대종로297(부사동),042-254-7879,전체품목 5% 할인
온누리문성약국,대전광역시 서구 둔산로 232(둔산동),042-482-7623,일부품목 5% 할인(의약품외)
호 재활의학과 의원,"대전광역시 서구 대덕대로 200, 4층(둔산동, 선우빌딩)",042-483-2575,일부품목 5% 할인(비보험진료)
동경한의원,"대전광역시 서구 대덕대로 226, 4층(둔산동, 명동프라자)",1899-1075,전체품목 10% 할인(비급여항목)
용화일침한의원,대전광역시 서구 문정로 134(탄방동),042-477-1725,한약품목 10% 할인
한양메디약국,대전광역시 서구 문정로 134 (탄방동),042-471-6543,일부품목  5% 할인
매디팜선심약국,"대전광역시 서구 신갈마로211번길 10-10, 1층(갈마동)",042-522-0656,전체품목 5% 할인
알토 자전거,"대전광역시 서구 월평동로 83, 129호(월평동,  다모아상가)",,전체품목 10% 할인
삼천리자전거 가수원점,대전광역시 서구 가수원로 106 (가수원동),042-541-0042,전체품목 5% 할인
대전 알톤자전거(RMB),"대전광역시 서구 갈마로 306, 107호 (가장동)",042-532-6622,일부품목 추가할인 5%(TREK 제외)
산야초건강원,대전광역시 서구 용문로 101(용문동),042-477-7785,일부품목 5% 할인
블루당구클럽,"대전광역시 서구 월평북로 82, 대주빌딩 5층(월평동)",042-482-3966,전체품목5%
유성한우리약국,대전광역시 유성구 유성대로646번길 61(구암동),042-824-4928,일부품목 10% 할인
경희다솜한의원,대전광역시 유성구 유성대로 800(장대동),042-826-7512,일부품목(비급여) 10~20%
풀잎한의원,대전광역시 유성구 도안대로 511-8 4층,042-335-1010,일부품목 5% 할인
티놀자애니멀파크,대전광역시 유성구 대덕대로 989번길 9-51,042-863-0055,40% 할인
대일건강원,대전광역시 대덕구 동심1길 45(대화동),042-627-4868,전체품목 5% 할인
짱노래방,대전광역시 대덕구 비래동로15번길 13(비래동),042-621-9060,전체품목 10% 할인
요넥스영스포츠대전광역시 대덕구점,대전광역시 대덕구 대덕대로 1584(석봉동),042-936-5857,5% 할인
탐라한의원,대전광역시 대덕구 중리북로 43(중리동),042-635-1075,"첩약 10%, 진료비 20%"
메디팜프라자(약국),대전광역시 대덕구 대전로 1369(읍내동),042-672-8305,일반약품 10% 할인
보화당약국,대전광역시 대덕구 대덕대로1470번길 30(목상동),042-933-1889,일부품목 10% 할인
365연세홈닥터의원,"대전광역시 대덕구 동춘당로94번길 11, 5층(송촌동)",042-636-0365,비급여 항목(수액) 5% 할인
