기관ㆍ업체명,소재지,전화번호,우대내용
한솔문구,대전광역시 동구 동산초교로 22번길 45(홍도동),042-636-7453,일부품목 10% 할인
왕창문구사,대전광역시 동구 중앙로204번길(중동),042-254-5698,전체품목 소매가의 20%할인(수입품제외)
학교문구,대전광역시 동구 옥천로 176번길 15-13(판암동),042-283-9425,일부품목 5% 할인(5천원 이상 구매시)
푸른문구,대전광역시 중구 수도산로 11(대흥동),042-254-0937,일부품목 10% 할인
문화문구,대전광역시 중구 당디로6번길 76(문화동),042-586-0141,전체품목 5% 할인
대원당서점,대전광역시 중구 문화로 181(문화동),042-582-7820,일부품목 5% 할인
왕자서점문구,대전광역시 중구 문화로 218번길 48(문화동),042-581-3385,일부품목 5% 할인
계룡문고,"대전광역시 중구 중앙로 119, 삼성생명 지하1층 (선화동)",042-222-4600,자체포인트적립(전체품목 7%)
오피스큐대전유통,"대전광역시 서구 대덕대로 220번길 38 1층(둔산동, 태화빌딩)",042-472-6636,전체품목 3% 할인
신우문구도매센터,대전광역시 서구 문정로170번길 74(둔산동),042-487-8439,자체할인기간중 20~50% 할인
문구뱅크,대전광역시 서구 도마5길 6(도마동),042-525-9970,전체품목 5% 할인
소라문구,대전광역시 서구 중반2길 104(변동),042-526-9976,3만원이상 5% 할인
알파문구서적,대전광역시 유성구 신성로72번길 54(신성동),042-862-1554,10% 할인 및 자체포인트1%적립
삼화문구서적오피스,대전광역시 유성구 관평2로 34(관평동),042-671-3311,할인된 가격으로 상품판매
퍼스트오피스,"대전광역시 유성구 관평2로 48, 2층(관평동)",042-933-8089,5% 할인(일부품목제외)
노은 정글북,대전광역시 유성구 반석동로 60(반석동),042-822-4410,가격 할인 및 포인트 적립 각 10%씩
이레문구,대전광역시 유성구 진잠로78번길 63(원내동),042-544-1009,전체품목 5% 할인
새일서적,대전광역시 대덕구 신탄진로 819(신탄진동),042-933-5000,전체 품목 10% 할인
