기관ㆍ업체명,소재지,전화번호,우대내용
청솔식당,대전광역시 동구 가양로 150(가양동),042-626-3189,전체품목 5% 할인
두원수산(활어회),대전광역시 동구 가양로 103(가양동),042-626-8885,일부품목 5% 할인
행복오리,대전광역시 동구 가양로 126(가양동),042-637-9252,일부품목 5% 할인
이바돔감자탕가양점,대전광역시 동구 동서대로 1734(가양동),042-633-0055,전체품목 10% 할인
맛정원,대전광역시 동구 흥룡로67(가양동),042-283-0863,"일부품목 5% 할인(삼겹살, 오리)"
우정장터치킨,대전광역시 동구 계족로 170(대동),042-282-7165,포인트적립 3%
한국회관,대전광역시 동구 동대전로110번길 60(대동),042-673-7585,포인트적립 2%
가야숯불구이,대전광역시 동구 용운로 1(대동),042-283-9936,전체품목 5% 할인(매장방문시)
수정식품,대전광역시 동구 이화로 43 (대동),042-622-2116,전체품목 5% 할인
평양숨두부,대전광역시 동구 대전로 381(대성동),042-284-4141,일부품목 5% 할인
들마루식당,대전광역시 동구 대청호수로 671-7(마산동),042-273-1093,전체품목 5% 할인
오가네생고기마을,대전광역시 동구 태전로 117(삼성동),042-673-3040,일부품목  5% 할인
미복식당,대전광역시 동구 태전로 122-2 (삼성동),042-621-6637,일부품목 5%(포인트적립)
자이김밥,대전광역시 동구 태전로 132-11(삼성동),042-635-7888,일부품목 5% 할인
카페허밍,대전광역시 동구 태전로 138-18(삼성동),042-321-0788,일부품목(제조음료)10% 할인
대박삼겹살,대전광역시 동구 현암로 19(삼성동),042-625-4330,"일부품목 3% 할인(음료, 주류 제외)"
버섯찌개 식당,대전광역시 동구 중앙로 263(소제동),042-637-4453,음료수 제공
유락반점,대전광역시 동구 계족로392번길 45-1(성남동),042-624-7842,전체품목 5% 할인
진고개식당,대전광역시 동구 회남로 222-13(신하동),042-274-5421,전체품목 5% 할인
사랑방,대전광역시 동구 새울로 96번길(용운동),042-284-6748,일부품목 할인
고기마을,대전광역시 동구 새울로109번길 8-1(용운동),042-282-3288,일부품목 5% 할인
인동식당,대전광역시 동구 대전로 665(인동),042-282-5176,전체품목 10% 할인
영실네 칼국수,대전광역시 동구 대전로 674-2(인동),042-271-5989,전체품목 10% 할인
선재보리밥,대전광역시 동구 대전로 679-16(인동),042-285-4500,일부품목 10% 할인
인동 녹차 연잎 왕만두,대전광역시 동구 대전로 695-3 (인동),042-285-6788,전체품목 5% 할인
인동왕만두,대전광역시 동구 대전로 697(인동),042-285-5060,전체품목 10% 할인
왕눈이 식당,대전광역시 동구 대전로 701-9 (인동),042-273-6783,전체품목 5% 할인
신흥갈비,"대전광역시 동구 충무로 221, 2층(인동)",042-273-5500,전체품목 10% 할인
광천순대식당,대전광역시 동구 대전천동로 452-1(인동),042-283-8419,전체품목 10% 할인
미가칼국수,대전광역시 동구 백룡로3(자양동),042-621-7533,전체품목 5% 할인
본도시락,대전광역시 동구 백룡로 3-1(자양동),042-625-8269,전체품목 10% 할인
비엔나,"대전광역시 동구 백룡로 5, 2층(자양동)",042-626-2022,식사 후 음료 제공
돈돈이촌,대전광역시 동구 백룡로 15(자양동),042-636-4446,5% 할인(현금 결제 시)
이모네,대전광역시 동구 백룡로5번길 105(자양동),042-633-2271,일부품목 5% 할인(능이백숙)
대대로감자탕,대전광역시 동구 백룡로5번길 126(자양동),042-632-0999,카드제시시 음료수 서비스 제공
후루루칼국수,대전광역시 동구 백룡로5번길 127(자양동),042-282-1312,일부품목 5% 할인(두부두루치기)
진수성찬,대전광역시 동구 백룡로 29(자양동),042-634-3898,가정식백반 10% 할인
김밥천국,대전광역시 동구 동대전로 172(자양동),042-638-1999,전체품목 5% 할인
장충동할머니족발,대전광역시 동구 동대전로154번길 4(자양동),042-621-5745,전체품목 10% 할인
고향집,대전광역시 동구 동대전로140-1(자양동),042-627-1739,일부품목 5% 할인
가미식품,대전광역시 동구 대전로 785번길 50(중동),042-633-2532,전체품목 10%할인
스모프치킨,대전광역시 동구 대전로 791번길 31(중동),042-242-9944,치킨 5%할인
옥천식당,대전광역시 동구 대전로791번길 41(중동),042-255-3802,일부품목 10% 할인
생일집,대전광역시 동구 대전로791번길 45(중동),042-226-5254,"일부품목 5% 할인(순대국밥,설렁탕)"
중국성,대전광역시 동구 대전로815번길 66(정동),042-254-3354,일부품목 10% 할인
대전 공동어시장,대전광역시 동구 옥천로 116(판암동),042-285-0088,전체품목10% 할인
소풍김밥,대전광역시 동구 옥천로 152-6(판암동),042-282-7733,전체품목 5% 할인
송원갈비,대전광역시 동구 옥천로 163-1(판암동),042-271-3122,전체품목 5% 할인
다사랑 치킨피자(판암점),대전광역시 동구 옥천로176번길 15-1(판암동),042-273-9244,전체품목 5% 할인
거농치킨,대전광역시 동구 옥천로 176번길 15-4(판암동),042-272-7364,일부품목 3% 적립
본만쥬 판암점,대전광역시 동구 옥천로176번길 18(판암동),042-274-7179,전체품목 5% 할인
엉터리 밴드,대전광역시 동구 옥천로179번길 8(판암동),042-272-2989,전체품목 5% 할인
제주유기농 쌈밥촌,대전광역시 동구 대전광역시 동구청로 210(판암동),042-282-9292,전체품목 5% 할인
장원반점,"대전광역시 동구 동부로 56-8, 나동 106호(판암동,판암4차주공아파트상가)",042-283-0852,전체품목 10% 할인
천개동농장,대전광역시 동구 세천공원로35번길 27(세천동),042-274-1153,"백숙, 해물탕 10% 할인"
페리카나 홍도체인점,대전광역시 동구 한남로7번길 87(홍도동),042-623-8177,전체품목 10% 할인
육교회관,대전광역시 동구 동산초교로 7(홍도동),042-636-5293,"일부품목 5% 할인(오리,삼겹살)"
