기관ㆍ업체명,소재지,전화번호,우대내용
장은영피아노학원,대전광역시 동구 동서대로1748번길 133(가양동),042-621-0513,수강료 5% 할인
아이러브피아노교습소,대전광역시 동구 동서대로1770번길 81(가양동),042-626-4666,전체품목 10% 할인
태웅입시학원,대전광역시 동구 충정로 128(가양동),042-621-1971,수강료 10% 할인
명수영수전문학원,대전광역시 동구 동대전로 247(가양동),042-625-0582,수강료 10% 할인
영재스마트학원,"대전광역시 동구 흥룡로 37번길 27(가양동) 2,3층",042-321-9595,수강료 30% 할인
베토벤음악학원,대전광역시 동구 가양로 72(가양동),042-622-9409,수강료 10% 할인
삼성영어스마트교실,"대전광역시 동구 성남로 10-2 , 2층(성남동)",042-625-0579,수강료 10%할인
비엔나 음악 교습소,"대전광역시 동구 성남로 15, 202호(성남동, 스마트뷰상가)",042-637-5579,수강료 5%할인
서연학원,"대전광역시 동구 계족로 167(대동, 대동클리릭7층)",042-633-6211,수강료 10% 할인
오드리삼성영어학원,"대전광역시 동구 대전로 935 (삼성동, 한밭자이아파트)",042-626-0522,5% 할인
창의력발전소학원,"대전광역시 동구 대전로 935(삼성동,자이아파트상가)",042-322-4292,"수강료 5,000원할인"
혜성음악학원,대전광역시 동구 계족로463번길 31(용전동),042-625-7887,수강료 5% 할인
보람독서실,대전광역시 동구 동대전로 220(자양동),042-637-1255,이용료 10% 할인
장준서뷰티아카데미,대전광역시 동구 중앙로 208(중동),042-226-3579,수강료 10% 할인
배우리학원,대전광역시 동구 옥천로 176번길 15-13(판암동),042-282-4912,수강료 20% 할인
혜성입시학원,"대전광역시 동구 옥천로 176번길 15-4, 6층(판암동, 동진프라자)",042-282-5551,수강료 5% 할인
뉴우리학원,대전광역시 동구 홍도로 1(홍도동),042-624-4122,수강료 10% 할인
꿈비음악학원,대전광역시 동구 옛신탄진로 59(홍도동),042-624-5646,수강료 5% 할인
엘엔케이한울학원,대전광역시 동구 동산초교로 41(홍도동)파밀리에존 4층,042-638-9940,수강료 15% 할인
강셈 주산 암산교습소,"대전광역시 동구 대전로542번길 78 상가2층 203호 - 2 (천동, 휴먼시아1단지아파트)",,수강료 10% 할인
이은주 음악학원,"대전광역시 동구 대전로542번길 80-77 3층 303호(천동, 월드빌딩)",042-272-3623,교재 할인
Q영수전문학원,"대전광역시 동구 대전로 542번길 80-99, 201호(천동)",042-272-0715,수강료 10% 할인
새콤미술교습소,"대전광역시 동구 대전로 542번길 95, 201호(천동)",042-284-8272,재료비 할인
숙명달콤음악학원,"대전광역시 동구 대전로 542번길 95, 202호(천동)",042-283-8272,교재비 할인
라벨 음악학원,"대전광역시 동구 대전로 542번길 121, 201호(천동, 위드힐@상가)",042-282-5144,교재비 할인
합기도 양우관 천동도장,"대전광역시 동구 천동초등동길 45, 1층(천동)",042-273-3784,전체품목 10% 할인
하이탑주니어학원,"대전광역시 동구 은어송로 52번길 5-4,401호(가오동)",042-284-6909,전체품목 10% 할인
음식나라조리학원,대전광역시 중구 중앙로 124(대흥동),042-242-5600,수강료 5% 할인
해오름학원,"대전광역시 중구 수도산로 13, 2층(대흥동)",042-253-5630,수강료 10% 할인
신연세 피아노 학원,대전광역시 중구 보문로 102(부사동),042-254-3384,수강료 10% 할인
예드림 음악학원,"대전광역시 중구 보문로 64, 3층(부사동)",042-255-8651,수강료 10% 할인
연수학학원,대전광역시 중구 대종로315번길 29(부사동),042-222-9199,수강료 10% 할인
고구려학원,"대전광역시 중구 대종로 316, 3층(부사동)",042-226-8716,수강료 15% 할인
EIE 대전학원,"대전광역시 중구 평촌로 58, 7층(유천동)",042-538-8900,수강료 5% 할인
트리플 미술학원,"대전광역시 중구 중앙로 127, 3층 (선화동)",042-252-9115,전체품목 10% 할인
삼성영어 태평교실 영어교습소,"대전광역시 중구 수침로 111번길 11, 3층(태평동)",042-522-3405,수강료 10% 할인
서대전학원,대전광역시 중구 중앙로13번길 71(용두동),042-221-5060,수강료 10% 할인
대전목동책먹는 미술관,"대전광역시 중구 목동로 61, 2층(목동, 예당프라자 )",042-222-2120,전체품목 5%할인
서진학원,대전광역시 서구 벌곡로1379번길 17-6(가수원동),042-542-2468,수강료 10% 할인
한국수공예평생직업교육학원,대전광역시 서구 가수원길 37(가수원동),,수강료 10% 할인
